time, 2843ad924d2001b5, 289329dd4d2001df, 288b18924d200116
1631143863.5077152, 78.91, 79.36, 78.91
1631143864.3540716, 79.02, 79.36, 78.91
1631143865.200901, 79.02, 79.36, 78.91
1631143866.0475612, 79.02, 79.36, 78.91
1631143866.8945153, 78.91, 79.36, 78.91
1631143867.7413933, 79.02, 79.36, 78.91
1631143868.5880563, 79.02, 79.36, 78.91
1631143869.4348173, 78.91, 79.36, 78.91
1631143870.2816157, 79.02, 79.36, 78.91
1631143871.1281862, 78.91, 79.36, 78.91
1631143871.9749305, 79.02, 79.36, 78.91
1631143872.8216503, 78.91, 79.36, 78.91
1631143873.6684065, 78.91, 79.36, 78.91
1631143874.5151296, 78.91, 79.36, 78.91
1631143875.3618782, 78.91, 79.36, 78.91
1631143876.2085416, 79.02, 79.36, 78.91
1631143877.05494, 78.91, 79.36, 78.91
1631143877.9016397, 79.02, 79.36, 78.91
1631143878.748513, 78.91, 79.36, 78.91
1631143879.595211, 78.91, 79.36, 78.91
1631143880.4419649, 79.02, 79.36, 78.91
1631143881.2887034, 78.91, 79.36, 78.91
1631143882.1353555, 78.91, 79.36, 78.91
1631143882.982115, 78.91, 79.36, 78.91
1631143883.8288035, 78.91, 79.36, 78.91
1631143884.6754575, 78.91, 79.36, 78.91
1631143885.5222032, 78.91, 79.36, 78.91
1631143886.3686368, 78.91, 79.36, 78.91
1631143887.2154286, 78.91, 79.36, 78.91
1631143888.0621924, 78.91, 79.36, 78.91
1631143888.9088306, 79.02, 79.36, 78.91
1631143889.7553113, 78.91, 79.36, 78.91
1631143890.6020148, 79.02, 79.36, 78.91
1631143891.448708, 78.91, 79.36, 78.91
1631143892.2953703, 78.91, 79.36, 78.91
1631143893.1421976, 78.91, 79.36, 78.91
