2843ad924d2001b5, 289329dd4d2001df, 288b18924d200116
1631143446.9278386, 79.47, 80.04, 79.36
1631143447.774432, 79.47, 80.04, 79.25
1631143448.6212907, 79.59, 80.04, 79.36
1631143449.4679189, 79.59, 80.04, 79.36
1631143450.3145213, 79.47, 80.04, 79.25
1631143451.1613483, 79.59, 80.04, 79.36
1631143452.008007, 79.47, 80.04, 79.36
1631143452.854622, 79.59, 80.04, 79.36
1631143453.7015674, 79.47, 80.04, 79.36
