time, 2843ad924d2001b5, 289329dd4d2001df, 288b18924d200116
1631143671.3032532, 79.02, 79.47, 79.02
1631143672.1496468, 79.14, 79.47, 79.02
1631143672.9963467, 79.02, 79.59, 79.02
1631143673.842945, 79.02, 79.47, 79.02
1631143674.6898031, 79.02, 79.47, 79.02
1631143675.536747, 79.02, 79.59, 79.02
1631143676.3834326, 79.02, 79.59, 79.02
1631143677.2300806, 79.02, 79.59, 79.02
1631143678.0768843, 79.02, 79.47, 79.02
1631143678.9234169, 79.14, 79.47, 79.02
1631143679.7702181, 79.02, 79.59, 79.02
1631143680.6167266, 79.14, 79.59, 79.02
1631143681.4634972, 79.02, 79.47, 79.02
1631143682.3103411, 79.02, 79.59, 79.02
1631143683.157063, 79.02, 79.59, 79.02
1631143684.0036452, 79.14, 79.47, 79.02
1631143684.8521807, 79.02, 79.59, 79.02
