2843ad924d2001b5, 289329dd4d2001df, 288b18924d200116
1631143115.6015275, 80.71, 81.27, 80.04
1631143116.4482317, 80.71, 81.27, 80.04
1631143117.2950392, 80.71, 81.27, 80.04
1631143118.1416988, 80.71, 81.27, 80.04
1631143118.988684, 80.71, 81.27, 80.04
1631143119.835573, 80.82, 81.39, 79.93
